,input,parsed,parsed_address
12,#deprem #karamanmaraş #piazzaavm #afad Maraş piazza avm yakını Sazibey mah 4. Sokak kat 1 daire 7 haber alamıyoruz… https://t.co/9nbfZxm6XJ,"[{'entity': 'B-LOC', 'score': 0.9880833, 'index': 4, 'word': 'karam', 'start': 9, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9872028, 'index': 5, 'word': '##an', 'start': 14, 'end': 16}, {'entity': 'B-LOC', 'score': 0.9916524, 'index': 6, 'word': '##maraş', 'start': 16, 'end': 21}, {'entity': 'B-LOC', 'score': 0.97233754, 'index': 16, 'word': 'Maraş', 'start': 39, 'end': 44}, {'entity': 'I-LOC', 'score': 0.8065096, 'index': 17, 'word': 'pi', 'start': 45, 'end': 47}, {'entity': 'I-LOC', 'score': 0.90388465, 'index': 18, 'word': '##azz', 'start': 47, 'end': 50}, {'entity': 'I-LOC', 'score': 0.9119136, 'index': 19, 'word': '##a', 'start': 50, 'end': 51}, {'entity': 'I-LOC', 'score': 0.77785474, 'index': 20, 'word': 'av', 'start': 52, 'end': 54}, {'entity': 'I-LOC', 'score': 0.8161533, 'index': 21, 'word': '##m', 'start': 54, 'end': 55}, {'entity': 'B-LOC', 'score': 0.99390125, 'index': 23, 'word': 'Sa', 'start': 63, 'end': 65}, {'entity': 'B-LOC', 'score': 0.995355, 'index': 24, 'word': '##zi', 'start': 65, 'end': 67}, {'entity': 'B-LOC', 'score': 0.9951912, 'index': 25, 'word': '##bey', 'start': 67, 'end': 70}, {'entity': 'I-LOC', 'score': 0.97273546, 'index': 26, 'word': 'mah', 'start': 71, 'end': 74}, {'entity': 'I-LOC', 'score': 0.79857004, 'index': 27, 'word': '4', 'start': 75, 'end': 76}, {'entity': 'I-LOC', 'score': 0.89012647, 'index': 28, 'word': '.', 'start': 76, 'end': 77}, {'entity': 'I-LOC', 'score': 0.94986624, 'index': 29, 'word': 'Sokak', 'start': 78, 'end': 83}]",karam##an##maraş Maraş pi##azz##a av##m Sa##zi##bey mah 4. Sokak
13,Bahçelievler mahallesi 943 ev  no 4/2 kat 2 / Adıyaman Göçük altında aile var haber alamıyoruz acill yayalım lütfen… https://t.co/ijxGxXAuaN,"[{'entity': 'B-LOC', 'score': 0.98254794, 'index': 1, 'word': 'Bahçelievler', 'start': 0, 'end': 12}, {'entity': 'B-LOC', 'score': 0.995125, 'index': 13, 'word': 'Adıyaman', 'start': 46, 'end': 54}]",Bahçelievler Adıyaman
14,"Alitaşı Mahallesi Bozbey Yolu Merve Apartmanı Kat:4 No:9 Merkez ADIYAMAN Arkadaşımız ailesi enkaz altında
#deprem #AFAD","[{'entity': 'B-LOC', 'score': 0.9958365, 'index': 1, 'word': 'Ali', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.99410725, 'index': 2, 'word': '##taşı', 'start': 3, 'end': 7}, {'entity': 'I-LOC', 'score': 0.98712176, 'index': 3, 'word': 'Mahallesi', 'start': 8, 'end': 17}, {'entity': 'B-LOC', 'score': 0.8903225, 'index': 4, 'word': 'Boz', 'start': 18, 'end': 21}, {'entity': 'B-LOC', 'score': 0.9418112, 'index': 5, 'word': '##bey', 'start': 21, 'end': 24}, {'entity': 'I-LOC', 'score': 0.9852246, 'index': 6, 'word': 'Yolu', 'start': 25, 'end': 29}, {'entity': 'B-LOC', 'score': 0.7862157, 'index': 7, 'word': 'Merve', 'start': 30, 'end': 35}, {'entity': 'I-LOC', 'score': 0.97358197, 'index': 8, 'word': 'Apart', 'start': 36, 'end': 41}, {'entity': 'I-LOC', 'score': 0.9628184, 'index': 9, 'word': '##manı', 'start': 41, 'end': 45}, {'entity': 'B-LOC', 'score': 0.988311, 'index': 16, 'word': 'Merkez', 'start': 57, 'end': 63}, {'entity': 'I-LOC', 'score': 0.5610139, 'index': 17, 'word': 'AD', 'start': 64, 'end': 66}, {'entity': 'B-LOC', 'score': 0.56971884, 'index': 18, 'word': '##IY', 'start': 66, 'end': 68}, {'entity': 'B-LOC', 'score': 0.57087696, 'index': 19, 'word': '##AMAN', 'start': 68, 'end': 72}, {'entity': 'B-ORG', 'score': 0.9932706, 'index': 28, 'word': 'AFAD', 'start': 115, 'end': 119}]",Ali##taşı Mahallesi Boz##bey Yolu Merve Apart##manı Merkez AD##IY##AMAN
15,Maraş piazza avm yakını Sazibey mah 4. Sokak kat 1 daire 7 ebrar sitesi haber alamıyoruz yardım edin anne baba 3 kı… https://t.co/q4TvkCfarq,"[{'entity': 'B-LOC', 'score': 0.9813306, 'index': 1, 'word': 'Maraş', 'start': 0, 'end': 5}, {'entity': 'I-LOC', 'score': 0.71693987, 'index': 2, 'word': 'pi', 'start': 6, 'end': 8}, {'entity': 'I-LOC', 'score': 0.8748798, 'index': 3, 'word': '##azz', 'start': 8, 'end': 11}, {'entity': 'I-LOC', 'score': 0.8304832, 'index': 4, 'word': '##a', 'start': 11, 'end': 12}, {'entity': 'I-LOC', 'score': 0.63123035, 'index': 5, 'word': 'av', 'start': 13, 'end': 15}, {'entity': 'I-LOC', 'score': 0.71570504, 'index': 6, 'word': '##m', 'start': 15, 'end': 16}, {'entity': 'B-LOC', 'score': 0.9942748, 'index': 8, 'word': 'Sa', 'start': 24, 'end': 26}, {'entity': 'B-LOC', 'score': 0.99540776, 'index': 9, 'word': '##zi', 'start': 26, 'end': 28}, {'entity': 'B-LOC', 'score': 0.9955754, 'index': 10, 'word': '##bey', 'start': 28, 'end': 31}, {'entity': 'I-LOC', 'score': 0.965208, 'index': 11, 'word': 'mah', 'start': 32, 'end': 35}, {'entity': 'I-LOC', 'score': 0.73830247, 'index': 12, 'word': '4', 'start': 36, 'end': 37}, {'entity': 'I-LOC', 'score': 0.867884, 'index': 13, 'word': '.', 'start': 37, 'end': 38}, {'entity': 'I-LOC', 'score': 0.9411513, 'index': 14, 'word': 'Sokak', 'start': 39, 'end': 44}]",Maraş pi##azz##a av##m Sa##zi##bey mah 4. Sokak
16,"Alitaşı Mahallesi Bozbey Yolu Merve Apartmanı Kat:4 No:9 Merkez\ADIYAMAN
Arkadaşımız ve ailesi enkaz Altında #DEPREMOLDU #afad","[{'entity': 'B-LOC', 'score': 0.9958733, 'index': 1, 'word': 'Ali', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.99357164, 'index': 2, 'word': '##taşı', 'start': 3, 'end': 7}, {'entity': 'I-LOC', 'score': 0.98681635, 'index': 3, 'word': 'Mahallesi', 'start': 8, 'end': 17}, {'entity': 'B-LOC', 'score': 0.87947035, 'index': 4, 'word': 'Boz', 'start': 18, 'end': 21}, {'entity': 'B-LOC', 'score': 0.93898135, 'index': 5, 'word': '##bey', 'start': 21, 'end': 24}, {'entity': 'I-LOC', 'score': 0.98410875, 'index': 6, 'word': 'Yolu', 'start': 25, 'end': 29}, {'entity': 'B-LOC', 'score': 0.8142466, 'index': 7, 'word': 'Merve', 'start': 30, 'end': 35}, {'entity': 'I-LOC', 'score': 0.97411126, 'index': 8, 'word': 'Apart', 'start': 36, 'end': 41}, {'entity': 'I-LOC', 'score': 0.96511024, 'index': 9, 'word': '##manı', 'start': 41, 'end': 45}, {'entity': 'B-LOC', 'score': 0.9950813, 'index': 16, 'word': 'Merkez', 'start': 57, 'end': 63}, {'entity': 'B-LOC', 'score': 0.9892565, 'index': 18, 'word': 'AD', 'start': 64, 'end': 66}, {'entity': 'B-LOC', 'score': 0.98802865, 'index': 19, 'word': '##IY', 'start': 66, 'end': 68}, {'entity': 'B-LOC', 'score': 0.9855692, 'index': 20, 'word': '##AMAN', 'start': 68, 'end': 72}]",Ali##taşı Mahallesi Boz##bey Yolu Merve Apart##manı Merkez AD##IY##AMAN
17,Alitaşı MH 1248 sk umut apartmanı B blok 5 kat no 22 Adıyaman enkaz altındalar acil yardım acil #deprem,"[{'entity': 'B-LOC', 'score': 0.9917378, 'index': 1, 'word': 'Ali', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.9911438, 'index': 2, 'word': '##taşı', 'start': 3, 'end': 7}, {'entity': 'I-LOC', 'score': 0.7537432, 'index': 3, 'word': 'M', 'start': 8, 'end': 9}, {'entity': 'I-LOC', 'score': 0.57646066, 'index': 4, 'word': '##H', 'start': 9, 'end': 10}, {'entity': 'B-LOC', 'score': 0.99395424, 'index': 17, 'word': 'Adıyaman', 'start': 53, 'end': 61}]",Ali##taşı M##H Adıyaman
18,Pentapak1 blok1 kat 11 haber alamıyoruz 12 Şubat parkına doğru yıkılmş #Kahramanmaras #deprem #afaddeprem #AFAD,"[{'entity': 'B-LOC', 'score': 0.9884797, 'index': 22, 'word': 'Kahraman', 'start': 72, 'end': 80}, {'entity': 'B-LOC', 'score': 0.9831982, 'index': 23, 'word': '##mara', 'start': 80, 'end': 84}, {'entity': 'B-LOC', 'score': 0.9881491, 'index': 24, 'word': '##s', 'start': 84, 'end': 85}, {'entity': 'B-ORG', 'score': 0.9897741, 'index': 33, 'word': 'AFAD', 'start': 107, 'end': 111}]",Kahraman##mara##s
19,"Ailem enkaz altında bina çökmüş haber alamıyoruz.
Güzelburç mahallesi 600 konutlar sitesi 7 blok kat 3 
İSİMLERİ:
H… https://t.co/wPfKtdmqs0","[{'entity': 'B-LOC', 'score': 0.9938782, 'index': 12, 'word': 'Güzel', 'start': 50, 'end': 55}, {'entity': 'B-LOC', 'score': 0.9935958, 'index': 13, 'word': '##bur', 'start': 55, 'end': 58}, {'entity': 'B-LOC', 'score': 0.9925614, 'index': 14, 'word': '##ç', 'start': 58, 'end': 59}, {'entity': 'I-LOC', 'score': 0.96866196, 'index': 15, 'word': 'mahallesi', 'start': 60, 'end': 69}, {'entity': 'I-LOC', 'score': 0.5942054, 'index': 18, 'word': '##lar', 'start': 79, 'end': 82}]",Güzel##bur##ç mahallesi ##lar
20,"ilem enkaz altında bina çökmüş haber alamıyoruz.
Güzelburç mahallesi 600 konutlar sitesi 7 blok kat 3 
İSİMLERİ:
Ha… https://t.co/0H10Iwr5L4","[{'entity': 'B-LOC', 'score': 0.9940023, 'index': 12, 'word': 'Güzel', 'start': 49, 'end': 54}, {'entity': 'B-LOC', 'score': 0.99378985, 'index': 13, 'word': '##bur', 'start': 54, 'end': 57}, {'entity': 'B-LOC', 'score': 0.9927642, 'index': 14, 'word': '##ç', 'start': 57, 'end': 58}, {'entity': 'I-LOC', 'score': 0.9704921, 'index': 15, 'word': 'mahallesi', 'start': 59, 'end': 68}, {'entity': 'I-LOC', 'score': 0.51442105, 'index': 17, 'word': 'konut', 'start': 73, 'end': 78}, {'entity': 'I-LOC', 'score': 0.63784176, 'index': 18, 'word': '##lar', 'start': 78, 'end': 81}]",Güzel##bur##ç mahallesi konut##lar
21,"Ailem enkaz altında bina çökmüş haber alamıyoruz.
Güzelburç mahallesi 600 konutlar sitesi 7 blok kat 3 
İSİMLERİ:
H… https://t.co/beXnryPGWk","[{'entity': 'B-LOC', 'score': 0.99376243, 'index': 12, 'word': 'Güzel', 'start': 50, 'end': 55}, {'entity': 'B-LOC', 'score': 0.9934917, 'index': 13, 'word': '##bur', 'start': 55, 'end': 58}, {'entity': 'B-LOC', 'score': 0.9925607, 'index': 14, 'word': '##ç', 'start': 58, 'end': 59}, {'entity': 'I-LOC', 'score': 0.96869284, 'index': 15, 'word': 'mahallesi', 'start': 60, 'end': 69}, {'entity': 'I-LOC', 'score': 0.57176507, 'index': 18, 'word': '##lar', 'start': 79, 'end': 82}]",Güzel##bur##ç mahallesi ##lar
22,"Yeni mah. 2637nolu sokak. No:1 kat:4 merkez/Adıyaman  
Akrabalarımız enkaz altında bina yıkılmış AKIN AİLESİ 4. Kat… https://t.co/zK7V3XLTXZ","[{'entity': 'B-LOC', 'score': 0.9383862, 'index': 1, 'word': 'Yeni', 'start': 0, 'end': 4}, {'entity': 'I-LOC', 'score': 0.8083488, 'index': 2, 'word': 'mah', 'start': 5, 'end': 8}, {'entity': 'B-LOC', 'score': 0.99069536, 'index': 18, 'word': 'Adıyaman', 'start': 44, 'end': 52}, {'entity': 'B-ORG', 'score': 0.82126766, 'index': 27, 'word': 'AK', 'start': 97, 'end': 99}, {'entity': 'B-ORG', 'score': 0.76267713, 'index': 28, 'word': '##IN', 'start': 99, 'end': 101}, {'entity': 'I-ORG', 'score': 0.51591104, 'index': 29, 'word': 'A', 'start': 102, 'end': 103}]",Yeni mah Adıyaman
23,"Alitaşı MH 1248 sk umut apartmanı B blok 5 kat no 22 Adıyaman 

Enkaz altında lütfen yardım edin
#deprem @AdiyamanBelTR #afaddeprem #AFAD","[{'entity': 'B-LOC', 'score': 0.99126124, 'index': 1, 'word': 'Ali', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.9901239, 'index': 2, 'word': '##taşı', 'start': 3, 'end': 7}, {'entity': 'I-LOC', 'score': 0.6007591, 'index': 3, 'word': 'M', 'start': 8, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9947248, 'index': 17, 'word': 'Adıyaman', 'start': 53, 'end': 61}, {'entity': 'B-ORG', 'score': 0.99047357, 'index': 39, 'word': 'AFAD', 'start': 133, 'end': 137}]",Ali##taşı M Adıyaman
24,"enkaz altında Odabaşı mahallesi gürses sokak no 3 prestij asi apartmanı. Kat 2 daire 12 Antakya/Hatay yardım edin duyurun 
#deprem","[{'entity': 'B-LOC', 'score': 0.9850758, 'index': 3, 'word': 'Oda', 'start': 14, 'end': 17}, {'entity': 'B-LOC', 'score': 0.99232566, 'index': 4, 'word': '##başı', 'start': 17, 'end': 21}, {'entity': 'B-LOC', 'score': 0.62378883, 'index': 7, 'word': '##ses', 'start': 35, 'end': 38}, {'entity': 'B-LOC', 'score': 0.9954959, 'index': 21, 'word': 'Antakya', 'start': 88, 'end': 95}, {'entity': 'B-LOC', 'score': 0.85373336, 'index': 23, 'word': 'Hatay', 'start': 96, 'end': 101}]",Oda##başı ##ses Antakya Hatay
25,"Bir arkadaşımız enkaz altında acil 

Erkenez mahallesi 24.sokak kat 1 no 10

Dulkadiroğlu/Kahramanmaraş 
#deprem #AFAD","[{'entity': 'B-LOC', 'score': 0.9867431, 'index': 6, 'word': 'Erken', 'start': 37, 'end': 42}, {'entity': 'B-LOC', 'score': 0.9904777, 'index': 7, 'word': '##ez', 'start': 42, 'end': 44}, {'entity': 'I-LOC', 'score': 0.8284173, 'index': 8, 'word': 'mahallesi', 'start': 45, 'end': 54}, {'entity': 'B-LOC', 'score': 0.9962664, 'index': 16, 'word': 'Dul', 'start': 77, 'end': 80}, {'entity': 'B-LOC', 'score': 0.99600345, 'index': 17, 'word': '##kadir', 'start': 80, 'end': 85}, {'entity': 'B-LOC', 'score': 0.99602926, 'index': 18, 'word': '##oğlu', 'start': 85, 'end': 89}, {'entity': 'B-LOC', 'score': 0.97139865, 'index': 20, 'word': 'Kahramanmaraş', 'start': 90, 'end': 103}, {'entity': 'B-ORG', 'score': 0.9933402, 'index': 24, 'word': 'AFAD', 'start': 114, 'end': 118}]",Erken##ez mahallesi Dul##kadir##oğlu Kahramanmaraş
26,Cebrail mahallesi fatih caddesi katipoglu apartman no:13 kat:3 daire:7 hatay/antakya #deprem #AFAD @AFADBaskanlik,"[{'entity': 'B-LOC', 'score': 0.9790717, 'index': 1, 'word': 'Ceb', 'start': 0, 'end': 3}, {'entity': 'B-LOC', 'score': 0.9846556, 'index': 2, 'word': '##rail', 'start': 3, 'end': 7}, {'entity': 'I-LOC', 'score': 0.8033769, 'index': 3, 'word': 'mahallesi', 'start': 8, 'end': 17}, {'entity': 'B-LOC', 'score': 0.8356684, 'index': 4, 'word': 'fat', 'start': 18, 'end': 21}, {'entity': 'B-LOC', 'score': 0.89808416, 'index': 5, 'word': '##ih', 'start': 21, 'end': 23}, {'entity': 'B-LOC', 'score': 0.9649134, 'index': 21, 'word': 'hata', 'start': 71, 'end': 75}, {'entity': 'B-LOC', 'score': 0.9617374, 'index': 22, 'word': '##y', 'start': 75, 'end': 76}, {'entity': 'B-LOC', 'score': 0.9812293, 'index': 24, 'word': 'ant', 'start': 77, 'end': 80}, {'entity': 'B-LOC', 'score': 0.97117245, 'index': 25, 'word': '##ak', 'start': 80, 'end': 82}, {'entity': 'B-LOC', 'score': 0.9798331, 'index': 26, 'word': '##ya', 'start': 82, 'end': 84}, {'entity': 'B-ORG', 'score': 0.9937649, 'index': 30, 'word': 'AFAD', 'start': 94, 'end': 98}, {'entity': 'B-ORG', 'score': 0.91942376, 'index': 32, 'word': 'AFAD', 'start': 100, 'end': 104}]",Ceb##rail mahallesi fat##ih hata##y ant##ak##ya
27,Hatay Fehmi Çankaya konutları oda başı mahallesi d blok  kat 3 daire 15 yardım var mı arkadaşım enkaz altında #deprem,"[{'entity': 'B-LOC', 'score': 0.9922998, 'index': 1, 'word': 'Hatay', 'start': 0, 'end': 5}, {'entity': 'B-PER', 'score': 0.45318767, 'index': 2, 'word': 'Feh', 'start': 6, 'end': 9}, {'entity': 'B-PER', 'score': 0.60910475, 'index': 3, 'word': '##mi', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.815623, 'index': 4, 'word': 'Çankaya', 'start': 12, 'end': 19}]",Hatay
28,"Göçük altındalar yardım edin 

Pınarbaşı, 175/1 SK. No:9 Kat:1 Daire:2 Hatay İskenderun #SONDAKIKA #deprem… https://t.co/rjdPQbZsT6","[{'entity': 'B-LOC', 'score': 0.99384224, 'index': 7, 'word': 'Pınar', 'start': 31, 'end': 36}, {'entity': 'B-LOC', 'score': 0.9947462, 'index': 8, 'word': '##başı', 'start': 36, 'end': 40}, {'entity': 'B-LOC', 'score': 0.5702936, 'index': 10, 'word': '175', 'start': 42, 'end': 45}, {'entity': 'I-LOC', 'score': 0.8174169, 'index': 12, 'word': '1', 'start': 46, 'end': 47}, {'entity': 'I-LOC', 'score': 0.55273074, 'index': 13, 'word': 'SK', 'start': 48, 'end': 50}, {'entity': 'B-LOC', 'score': 0.9896271, 'index': 24, 'word': 'Hatay', 'start': 71, 'end': 76}, {'entity': 'B-LOC', 'score': 0.9353913, 'index': 25, 'word': 'İskenderun', 'start': 77, 'end': 87}]",Pınar##başı 175 1 SK Hatay İskenderun
29,"Göçük altındalar yardım edin 

Pınarbaşı, 175/1 SK. No:9 Kat:1 Daire:2 Hatay İskenderun #SONDAKIKA #deprem… https://t.co/1k90OsotfB","[{'entity': 'B-LOC', 'score': 0.9937459, 'index': 7, 'word': 'Pınar', 'start': 31, 'end': 36}, {'entity': 'B-LOC', 'score': 0.9947412, 'index': 8, 'word': '##başı', 'start': 36, 'end': 40}, {'entity': 'B-LOC', 'score': 0.6170351, 'index': 10, 'word': '175', 'start': 42, 'end': 45}, {'entity': 'I-LOC', 'score': 0.4763061, 'index': 11, 'word': '/', 'start': 45, 'end': 46}, {'entity': 'I-LOC', 'score': 0.85470974, 'index': 12, 'word': '1', 'start': 46, 'end': 47}, {'entity': 'I-LOC', 'score': 0.5607091, 'index': 13, 'word': 'SK', 'start': 48, 'end': 50}, {'entity': 'B-LOC', 'score': 0.9898968, 'index': 24, 'word': 'Hatay', 'start': 71, 'end': 76}, {'entity': 'B-LOC', 'score': 0.9340669, 'index': 25, 'word': 'İskenderun', 'start': 77, 'end': 87}]",Pınar##başı 175/1 SK Hatay İskenderun
