,Unnamed: 0,FS,CP,metric,uncollateralized,vm_collateralized,im_vm_collateralized
0,0,0,0,BaselEEPE+,16411844.63,3200794.7299999995,579510.7399999999
1,1,0,0,BaselEEPE_rho+,0.1489773080285579,0.0789205664165105,0.06312391530519627
2,2,0,1,BaselEEPE+,7343252.069999998,1393728.43,166464.72
3,3,0,1,BaselEEPE_rho+,0.06665782855170348,0.034364539561208884,0.018132372985155056
4,4,0,2,BaselEEPE+,13335683.75,3757943.2900000005,1043078.46
5,5,0,2,BaselEEPE_rho+,0.12105368473715465,0.09265792967858487,0.11361859551682266
6,6,0,3,BaselEEPE+,10075900.49,4048582.79,260022.73
7,7,0,3,BaselEEPE_rho+,0.091463242847177,0.0998240980517162,0.028323293518159688
8,8,0,4,BaselEEPE+,7258305.59,3388712.65,1853264.87
9,9,0,4,BaselEEPE_rho+,0.06588673315065582,0.08355397465953537,0.20186913997827824
10,10,0,5,BaselEEPE+,13593692.58,3236668.43,779584.58
11,11,0,5,BaselEEPE_rho+,0.1233957408440432,0.07980508821883676,0.08491720274443408
12,12,0,6,BaselEEPE+,3493137.5700000008,1927097.81,54557.2
13,13,0,6,BaselEEPE_rho+,0.0317086984116799,0.047515590200067896,0.005942709658993818
14,14,0,7,BaselEEPE+,5920107.57,3608731.23,299325.82
15,15,0,7,BaselEEPE_rho+,0.05373933941623523,0.08897887454237051,0.032604430610446385
16,16,0,8,BaselEEPE+,6397303.88,1153137.2500000002,41372.65
17,17,0,8,BaselEEPE_rho+,0.05807105369136367,0.028432390266394037,0.0045065664435339535
18,18,0,9,BaselEEPE+,8301870.750000001,3058670.49,1129109.97
19,19,0,9,BaselEEPE_rho+,0.07535961884962257,0.07541627249313353,0.12298968284269025
20,20,0,10,BaselEEPE+,4968750.25,3736310.94,944020.34
21,21,0,10,BaselEEPE_rho+,0.04510346357764807,0.09212455048406208,0.10282856878294024
22,22,0,11,BaselEEPE+,7442406.96,2788157.13,478924.22
23,23,0,11,BaselEEPE_rho+,0.06755789974559387,0.06874634536711835,0.05216740573416672
24,24,0,12,BaselEEPE+,5621129.510000002,5258633.58,1551289.61
25,25,0,12,BaselEEPE_rho+,0.05102538814856468,0.12965978006046094,0.16897611587918282
26,26,1,0,BaselEEPE+,8100409.59,1701658.0,35830.55
27,27,1,0,BaselEEPE_rho+,0.08669201305933086,0.05191830084886745,0.005151148515034736
28,28,1,1,BaselEEPE+,3973324.51,1460671.13,221040.33
29,29,1,1,BaselEEPE_rho+,0.04252322015112811,0.04456569014960419,0.031777674851273224
30,30,1,2,BaselEEPE+,5401463.04,2115734.18,790605.16
31,31,1,2,BaselEEPE_rho+,0.057807410748864724,0.06455193915197524,0.11366067771532393
32,32,1,3,BaselEEPE+,6272958.14,1182932.39,27713.51
33,33,1,3,BaselEEPE_rho+,0.0671343051177139,0.036091764448490715,0.003984209170188576
34,34,1,4,BaselEEPE+,5981002.23,1664089.29,365636.71
35,35,1,4,BaselEEPE_rho+,0.0640097414421049,0.050772063715269586,0.05256545031429007
36,36,1,5,BaselEEPE+,715976.71,1827295.58,1056468.08
37,37,1,5,BaselEEPE_rho+,0.00766250911189995,0.05575155622472066,0.15188223405651316
38,38,1,6,BaselEEPE+,193796.5,458255.93,11135.85
39,39,1,6,BaselEEPE_rho+,0.002074044345806051,0.013981581045966664,0.0016009359943162905
40,40,1,7,BaselEEPE+,5788053.86,1102824.29,26482.13
41,41,1,7,BaselEEPE_rho+,0.06194477393324384,0.033647632645137066,0.003807180872871245
42,42,1,8,BaselEEPE+,11478165.47,2083384.96,44430.36
43,43,1,8,BaselEEPE_rho+,0.12284135262133088,0.06356495085221922,0.006387492877906108
44,44,1,9,BaselEEPE+,17502834.57,3390313.38,378568.54
45,45,1,9,BaselEEPE_rho+,0.1873184246128655,0.10343988629605988,0.05442458384422979
46,46,1,10,BaselEEPE+,8784398.96,4158986.47,1123180.89
47,47,1,10,BaselEEPE_rho+,0.094012188013161,0.12689242537327078,0.1614731443876494
48,48,1,11,BaselEEPE+,6576927.020000001,3638242.93,374931.22
49,49,1,11,BaselEEPE_rho+,0.07038743371841102,0.11100432108038454,0.053901667631201904
50,50,1,12,BaselEEPE+,9522488.45,4905065.62,1384731.84
51,51,1,12,BaselEEPE_rho+,0.10191135199926687,0.14965561384402534,0.19907479403295003
52,52,1,13,BaselEEPE+,3147138.45,3086233.27,1115081.94
53,53,1,13,BaselEEPE_rho+,0.033681231124872334,0.09416227432400867,0.16030880573625164
54,54,2,0,BaselEEPE+,3716047.53,179671.25,2279.66
55,55,2,0,BaselEEPE_rho+,0.0478124471373477,0.005755927456553512,0.00027046845676305224
56,56,2,1,BaselEEPE+,7583373.57,2861054.45,808881.1499999998
57,57,2,1,BaselEEPE_rho+,0.09757131603168293,0.09165641060241753,0.09596906395919698
58,58,2,2,BaselEEPE+,8305936.61,2924383.31,581636.0
59,59,2,2,BaselEEPE_rho+,0.1068681581399972,0.09368520666225587,0.06900774296071988
60,60,2,3,BaselEEPE+,9901045.7,2779290.36,639414.5299999999
61,61,2,3,BaselEEPE_rho+,0.1273915955901979,0.08903702563909638,0.07586283093135482
62,62,2,4,BaselEEPE+,6111997.25,2949948.16,313282.27
63,63,2,4,BaselEEPE_rho+,0.07863988365596591,0.09450419925031696,0.03716912701811932
64,64,2,5,BaselEEPE+,11058583.03,5410810.41,1418659.0699999996
65,65,2,5,BaselEEPE_rho+,0.14228502522298078,0.1733400986586589,0.1683156827490972
66,66,2,6,BaselEEPE+,9863806.03,647663.84,13075.67
67,67,2,6,BaselEEPE_rho+,0.12691245216188787,0.020748484130170414,0.0015513525201314845
68,68,2,7,BaselEEPE+,4789395.14,2616257.23,1057989.9300000002
69,69,2,7,BaselEEPE_rho+,0.06162265151412635,0.08381411507719592,0.12552437803793098
70,70,2,8,BaselEEPE+,5585903.54,4507315.289999999,2375535.71
71,71,2,8,BaselEEPE_rho+,0.07187091003665752,0.14439583312886425,0.28184355450778703
72,72,2,9,BaselEEPE+,2960147.12,2646211.6,546961.34
73,73,2,9,BaselEEPE_rho+,0.03808667046133612,0.08477372982205222,0.06489379536371702
74,74,2,10,BaselEEPE+,7244843.71,2982033.4799999995,641820.3200000001
75,75,2,10,BaselEEPE_rho+,0.09321562873086314,0.09553208086376544,0.07614826398215893
76,76,2,11,BaselEEPE+,600262.23,710356.1799999998,29025.77
77,77,2,11,BaselEEPE_rho+,0.007723261316956688,0.022756888708652438,0.003443739513023565
78,78,3,0,BaselEEPE+,16917924.259999998,4301979.8999999985,1152940.86
79,79,3,0,BaselEEPE_rho+,0.12618645219906316,0.08358214851708502,0.06814760888510242
80,80,3,1,BaselEEPE+,14351296.27,3393111.17,951267.35
81,81,3,1,BaselEEPE_rho+,0.10704263318229022,0.06592395323509534,0.056227164429724384
82,82,3,2,BaselEEPE+,19761599.69,6259667.72,1634076.59
83,83,3,2,BaselEEPE_rho+,0.14739669691955498,0.12161760147708806,0.0965864045651239
84,84,3,3,BaselEEPE+,11568408.07,4796372.68,2096789.39
85,85,3,3,BaselEEPE_rho+,0.08628578479901007,0.0931875887386292,0.12393626440141302
86,86,3,4,BaselEEPE+,9791107.09,1502777.2000000004,150246.05
87,87,3,4,BaselEEPE_rho+,0.07302935323509918,0.029197102273418155,0.008880688860252155
88,88,3,5,BaselEEPE+,11938022.31,2327090.82,349414.73
89,89,3,5,BaselEEPE_rho+,0.0890426424909509,0.045212496350804696,0.020653078735307952
90,90,3,6,BaselEEPE+,6841131.8,1949820.24,1000014.67
91,91,3,6,BaselEEPE_rho+,0.051026245158765776,0.037882595611685305,0.059108503284830034
92,92,3,7,BaselEEPE+,2927832.590000001,1712346.0299999998,451589.37
93,93,3,7,BaselEEPE_rho+,0.021837951363715014,0.03326876543335335,0.026692380182822044
94,94,3,8,BaselEEPE+,7393512.86,4503623.130000001,2516157.16
95,95,3,8,BaselEEPE_rho+,0.055146313622966237,0.08749982707186507,0.14872410197443264
96,96,3,9,BaselEEPE+,10734344.88,7011828.36,2251733.44
97,97,3,9,BaselEEPE_rho+,0.08006472166866048,0.13623115239609296,0.1330946409364191
98,98,3,10,BaselEEPE+,4890679.8900000015,2123170.68,514836.08
99,99,3,10,BaselEEPE_rho+,0.03647832527655522,0.041250580250939896,0.030430743706818843
100,100,3,11,BaselEEPE+,4205625.56,4060026.13,1891954.26
101,101,3,11,BaselEEPE_rho+,0.03136868096453449,0.07888128602853442,0.1118289440613488
102,102,3,12,BaselEEPE+,6827022.3900000015,3432989.42,868425.4000000001
103,103,3,12,BaselEEPE_rho+,0.05092100669315026,0.06669873830884741,0.05133057258902997
104,104,3,13,BaselEEPE+,5922337.23,4095276.87,1088842.45
105,105,3,13,BaselEEPE_rho+,0.04417319242568399,0.07956616430656106,0.0643589033873747
106,106,4,0,BaselEEPE+,4937820.74,1476929.2400000002,14811.89
107,107,4,0,BaselEEPE_rho+,0.06568896927863385,0.048980753418368383,0.0023170127579483627
108,108,4,1,BaselEEPE+,3383693.95,1019897.88,17313.300000000007
109,109,4,1,BaselEEPE_rho+,0.04501406179638858,0.033823804972671984,0.002708306433695322
110,110,4,2,BaselEEPE+,9651937.21,2776523.8400000003,618812.88
111,111,4,2,BaselEEPE_rho+,0.12840194900777074,0.09208039619234656,0.09680043112275136
112,112,4,3,BaselEEPE+,10341109.51,4002548.82,1498213.46
113,113,4,3,BaselEEPE_rho+,0.13757016722105192,0.13274018245952074,0.23436439920563545
114,114,4,4,BaselEEPE+,4427595.91,1272637.97,15417.03
115,115,4,4,BaselEEPE_rho+,0.05890133057163085,0.042205655431009605,0.0024116743507866085
116,116,4,5,BaselEEPE+,4910202.760000002,4026094.89,1942812.51
117,117,4,5,BaselEEPE_rho+,0.06532156091464414,0.1335210622859921,0.30391269257141945
118,118,4,6,BaselEEPE+,4933087.07,2319008.1100000003,57375.09
119,119,4,6,BaselEEPE_rho+,0.06562599617378087,0.07690738414191495,0.008975141964896821
120,120,4,7,BaselEEPE+,5917558.58,2111426.36,538890.47
121,121,4,7,BaselEEPE_rho+,0.078722647952209,0.07002316096078041,0.08429822893140508
122,122,4,8,BaselEEPE+,1108095.47,988865.37,440143.43
123,123,4,8,BaselEEPE_rho+,0.014741249858864524,0.0327946454983406,0.06885130409671908
124,124,4,9,BaselEEPE+,3132607.95,1817751.99,38285.38000000001
125,125,4,9,BaselEEPE_rho+,0.041673806771194,0.060283769585290636,0.005988953057503203
126,126,4,10,BaselEEPE+,8538100.74,1155686.76,27126.550000000007
127,127,4,10,BaselEEPE_rho+,0.11358432530050512,0.03832709563014208,0.0042433857143905455
128,128,4,11,BaselEEPE+,3037663.2700000005,984143.52,20841.58
129,129,4,11,BaselEEPE_rho+,0.0404107357736653,0.03263805047383657,0.003260232607439121
130,130,4,12,BaselEEPE+,3442376.66,1620334.49,44162.06
131,131,4,12,BaselEEPE_rho+,0.04579473143535506,0.053736632710967035,0.006908237668338146
132,132,4,13,BaselEEPE+,7407859.710000001,4581407.6400000015,1118460.94
133,133,4,13,BaselEEPE_rho+,0.09854846794430604,0.15193740623881818,0.17495999951707167
